"date","gender","age","social_metric","time_since_signup","demographic","group","hours_watched"
"03/07","F",50,7,12.4,3,"A",3.44
"03/07","M",32,0,17.6,2,"A",5.08
"03/07","M",47,4,20.4,4,"A",3.85
"03/07","M",54,4,19.6,4,"A",4.24
"03/07","F",34,3,17.3,1,"A",4.17
"03/07","M",44,4,10.6,4,"A",1.04
"03/07","F",33,6,10.5,1,"A",5.35
"03/07","M",30,0,20.1,2,"A",3.31
"03/07","M",46,7,9.2,4,"A",4.35
"03/07","F",25,8,16.2,1,"A",4.46
"03/07","M",44,5,1.9,4,"A",3.73
"03/07","F",23,1,19.9,1,"A",4.29
"03/07","F",27,9,0.4,1,"A",5.18
"03/07","M",23,4,2.7,2,"A",4.49
"03/07","F",27,5,11.8,1,"A",4.04
"03/07","F",20,7,16.4,1,"A",5.8
"03/07","F",42,2,14.6,3,"A",2.47
"03/07","M",50,3,21.5,4,"A",2.81
"03/07","F",47,7,7.4,3,"A",3.47
"03/07","M",48,8,13,4,"A",3.14
"04/07","F",35,0,17.7,1,"A",5.75
"04/07","F",33,6,3.7,1,"A",2.88
"04/07","F",48,7,16.4,3,"A",3.71
"04/07","F",40,9,21.1,3,"A",3.33
"04/07","M",42,7,8.8,4,"A",2.84
"04/07","F",31,3,0.8,1,"A",4.53
"04/07","F",28,4,12.5,1,"A",7.05
"04/07","M",55,1,2.7,4,"A",3.85
"04/07","M",41,1,21.7,4,"A",3.85
"04/07","F",26,6,5.3,1,"A",4.53
"04/07","F",23,3,15,1,"A",7.09
"04/07","M",36,4,8.7,4,"A",4.1
"04/07","F",52,9,18.9,3,"A",2.62
"04/07","F",40,4,22.9,3,"A",2.68
"04/07","M",54,2,16.5,4,"A",2.04
"04/07","M",45,7,0.3,4,"A",5.61
"04/07","F",31,0,23,1,"A",5.36
"04/07","F",34,7,12,1,"A",5.33
"04/07","M",23,8,13,2,"A",3.91
"04/07","M",18,5,1.4,2,"A",5.22
"04/07","F",44,3,3.9,3,"A",4.71
"04/07","F",22,7,18.2,1,"A",5.19
"04/07","M",35,3,7.7,2,"A",3.63
"04/07","F",42,8,14.8,3,"A",4.34
"04/07","M",55,1,14.3,4,"A",1.72
"04/07","M",36,8,1.2,4,"A",4.38
"04/07","F",36,5,9.5,3,"A",6.83
"04/07","M",24,8,7.5,2,"A",6.04
"04/07","F",46,8,10.4,3,"A",5.2
"04/07","F",35,9,8.6,1,"A",4.96
"04/07","M",37,3,17.9,4,"A",3.71
"04/07","M",26,4,22.9,2,"A",5.64
"04/07","M",26,3,5.3,2,"A",3.4
"05/07","F",40,3,19.8,3,"A",5.41
"05/07","M",39,9,0.7,4,"A",4.39
"05/07","F",21,1,22.7,1,"A",1.93
"05/07","M",19,4,23.5,2,"A",4.48
"05/07","F",42,4,19.5,3,"A",3.47
"05/07","M",52,4,16,4,"A",5
"05/07","M",40,2,7.1,4,"A",3.76
"05/07","M",39,3,20.5,4,"A",2.53
"05/07","F",37,7,20.3,3,"A",4.28
"05/07","F",54,8,9.1,3,"A",2.32
"05/07","M",37,4,20.8,4,"A",2.69
"05/07","F",43,2,12.9,3,"A",2.93
"05/07","M",40,3,13.9,4,"A",2.08
"05/07","M",27,8,0.4,2,"A",8.01
"05/07","M",28,2,21.9,2,"A",4.94
"05/07","M",45,8,15.4,4,"A",4.66
"05/07","M",35,5,13.3,2,"A",3.36
"05/07","F",24,3,16.3,1,"A",6.29
"05/07","M",46,3,22.6,4,"A",3.97
"05/07","F",22,8,4.4,1,"A",4.66
"05/07","F",50,1,10.7,3,"A",2.79
"05/07","M",41,8,7.2,4,"A",3.96
"05/07","M",39,1,10.8,4,"A",5.1
"05/07","M",30,7,21.9,2,"A",4.88
"05/07","M",35,9,18.6,2,"A",5.99
"05/07","M",37,10,16.3,4,"A",5.59
"05/07","M",25,2,15.1,2,"A",4.54
"05/07","F",38,0,9.6,3,"A",3.74
"05/07","M",21,2,1.3,2,"A",4.19
"05/07","M",28,1,15.5,2,"A",4.07
"05/07","M",26,4,5.3,2,"A",3.58
"05/07","F",29,1,2.1,1,"A",4.08
"06/07","F",51,3,3.1,3,"A",2.64
"06/07","M",35,6,21.1,2,"A",4.39
"06/07","M",47,3,15.6,4,"A",5.87
"06/07","F",51,9,0.7,3,"A",3.75
"06/07","F",33,4,3.1,1,"A",3.07
"06/07","F",20,10,3.8,1,"A",6.83
"06/07","M",30,3,11.4,2,"A",4.35
"06/07","M",45,7,18,4,"A",5.35
"06/07","M",30,1,20.2,2,"A",4.49
"06/07","M",41,8,21,4,"A",5.97
"06/07","M",49,8,0.3,4,"A",3.67
"06/07","F",50,4,1,3,"A",2.66
"06/07","F",32,5,5.1,1,"A",6.69
"06/07","M",32,7,17.4,2,"A",3.55
"06/07","M",51,1,19.1,4,"A",3.23
"06/07","F",42,6,15.2,3,"A",3.11
"06/07","F",45,8,3.6,3,"A",5.23
"06/07","F",40,2,11.7,3,"A",4.28
"06/07","F",51,0,18,3,"A",2.28
"06/07","F",29,4,6.4,1,"A",4.42
"06/07","F",25,3,18.2,1,"A",5.83
"06/07","F",51,4,4.7,3,"A",2.04
"06/07","M",37,4,9.1,4,"A",3.49
"06/07","M",50,9,13.4,4,"A",4.11
"06/07","F",25,2,10.9,1,"A",5.59
"06/07","M",46,1,21.3,4,"A",1.54
"06/07","M",45,6,14.1,4,"A",4.03
"06/07","M",53,0,1.6,4,"A",1.36
"06/07","M",38,1,3.1,4,"A",3.25
"06/07","M",44,8,3.5,4,"A",5.43
"06/07","F",32,9,20.6,1,"A",6.11
"06/07","F",22,2,22.8,1,"A",4.81
"07/07","F",52,6,21.5,3,"A",2.28
"07/07","F",28,3,2.7,1,"A",5.07
"07/07","M",40,10,19,4,"A",6.22
"07/07","M",22,8,0.1,2,"A",6.51
"07/07","F",49,7,16.8,3,"A",3.99
"07/07","F",30,2,12.2,1,"A",4.62
"07/07","M",47,0,6.5,4,"A",4.13
"07/07","F",28,4,15.2,1,"A",5.78
"07/07","F",26,7,23.9,1,"A",6.09
"07/07","M",37,9,12.1,4,"A",4.05
"07/07","M",28,7,22.4,2,"A",2.47
"07/07","F",25,7,4.6,1,"A",4.77
"07/07","M",37,8,11.6,4,"A",5.96
"07/07","M",39,7,15.2,4,"A",4.23
"07/07","M",23,9,4.9,2,"A",5.01
"07/07","F",27,4,10.3,1,"A",2.89
"07/07","M",45,7,16.1,4,"A",3.33
"07/07","F",54,1,19.7,3,"A",1.72
"07/07","F",22,7,8.6,1,"A",4.89
"07/07","M",46,1,14.8,4,"A",3.34
"07/07","M",53,3,8.3,4,"A",2.59
"07/07","M",48,4,18.1,4,"A",4.64
"07/07","F",29,9,13.6,1,"A",3.74
"07/07","M",42,10,15.1,4,"A",2.99
"07/07","M",53,0,9.4,4,"A",1.42
"07/07","F",53,6,15.8,3,"A",3.09
"07/07","M",31,0,16.4,2,"A",6.45
"07/07","M",28,6,18.6,2,"A",6.43
"07/07","F",24,1,18.4,1,"A",4.41
"07/07","F",30,6,0.3,1,"A",4.16
"07/07","M",37,8,5.5,4,"A",5.93
"07/07","F",52,4,16.7,3,"A",3.32
"08/07","M",37,1,21.7,4,"A",3.55
"08/07","F",28,1,2.1,1,"A",4.53
"08/07","M",20,4,15.9,2,"A",6.49
"08/07","M",33,10,15.4,2,"A",5.04
"08/07","F",50,5,22.4,3,"A",3.5
"08/07","F",31,3,21.7,1,"A",5.36
"08/07","M",23,3,0.7,2,"A",4.5
"08/07","M",32,4,7.8,2,"A",2.58
"08/07","M",41,0,20.8,4,"A",3.54
"08/07","M",32,0,5,2,"A",5.43
"08/07","F",44,9,11.8,3,"A",4.05
"08/07","M",44,4,11.2,4,"A",4.38
"08/07","M",39,5,12.8,4,"A",3.67
"08/07","M",34,4,22.6,2,"A",3.56
"08/07","F",35,7,12.9,1,"A",5.14
"08/07","M",29,4,13,2,"A",4.42
"08/07","M",39,5,15.3,4,"A",5.06
"08/07","M",52,0,13.4,4,"A",3.57
"08/07","M",23,3,1.5,2,"A",4.64
"08/07","M",33,10,7,2,"A",5.25
"08/07","M",26,9,11.6,2,"A",6.4
"08/07","M",34,10,7.2,2,"A",6.54
"08/07","M",23,8,12.8,2,"A",5.15
"08/07","F",35,8,10.7,1,"A",4.32
"08/07","F",53,1,19,3,"A",2.3
"08/07","M",46,1,1.3,4,"A",4.46
"08/07","F",53,1,8.8,3,"A",1.87
"08/07","M",35,8,21.4,2,"A",4.16
"08/07","M",40,9,12.5,4,"A",4.29
"08/07","M",36,4,8.8,4,"A",3.04
"08/07","M",22,2,10,2,"A",4.57
"08/07","M",27,4,0.5,2,"A",4.52
"08/07","M",36,5,14.2,4,"A",4.5
"09/07","M",32,9,11.8,2,"A",5.79
"09/07","F",53,1,2.5,3,"A",4.19
"09/07","F",37,1,9.7,3,"A",4.78
"09/07","M",30,8,1.3,2,"A",3.87
"09/07","M",28,3,0.9,2,"A",6.27
"09/07","M",47,7,5.5,4,"A",4.57
"09/07","M",44,2,23.5,4,"A",3.59
"09/07","M",24,4,1.1,2,"A",6.44
"09/07","M",20,5,3.2,2,"A",5.94
"09/07","F",46,9,22.3,3,"A",3.9
"09/07","F",41,1,2.1,3,"A",3.08
"09/07","F",24,3,22.6,1,"A",5.88
"09/07","F",20,2,16.2,1,"A",2.89
"09/07","F",22,4,0.1,1,"A",5.04
"09/07","M",32,8,20.4,2,"A",3.88
"09/07","M",24,9,12.4,2,"A",3.57
"09/07","M",29,7,10.1,2,"A",5.32
"09/07","F",25,7,20.6,1,"A",5.21
"09/07","F",28,2,14.2,1,"A",2.64
"09/07","M",25,8,1.5,2,"A",5.16
"09/07","M",36,7,3.2,4,"A",5.06
"09/07","F",47,9,9.9,3,"A",4.61
"09/07","F",19,0,19.9,1,"A",5.24
"09/07","F",38,6,9.3,3,"A",5.11
"09/07","F",51,4,14.9,3,"A",3.3
"09/07","M",32,7,14.5,2,"A",5.28
"09/07","M",20,8,13,2,"A",5.59
"09/07","F",23,3,14,1,"A",4.01
"09/07","F",30,3,18.5,1,"A",4.89
"09/07","M",24,7,16.8,2,"A",6.32
"09/07","F",23,5,20.2,1,"A",7.52
"09/07","M",26,4,23.5,2,"A",4.54
"10/07","M",26,1,5.6,2,"A",4.69
"10/07","M",23,9,20.6,2,"A",3.52
"10/07","M",54,8,16.4,4,"A",2.43
"10/07","M",30,5,7.2,2,"A",6.13
"10/07","M",37,0,3.9,4,"A",3.61
"10/07","M",43,5,18.4,4,"A",4.47
"10/07","F",22,4,23.7,1,"A",5.87
"10/07","M",22,5,20.6,2,"A",4.35
"10/07","M",20,4,16.2,2,"A",5.32
"10/07","F",52,0,19.5,3,"A",2.85
"10/07","M",43,5,11.7,4,"A",3.59
"10/07","F",22,2,11.1,1,"A",5.2
"10/07","M",36,2,7.5,4,"A",3.48
"10/07","F",35,10,0.5,1,"A",3.85
"10/07","F",32,10,9.9,1,"A",5.74
"10/07","M",55,8,23.5,4,"A",4.52
"10/07","M",25,1,3.2,2,"A",4.92
"10/07","F",48,5,17.5,3,"A",3.41
"10/07","M",21,6,12.6,2,"A",5.16
"10/07","F",33,4,23.1,1,"A",5.96
"10/07","M",23,0,17.3,2,"A",5.85
"10/07","M",25,4,21.9,2,"A",6.44
"10/07","M",49,5,7.3,4,"A",4.01
"10/07","M",45,7,15.1,4,"A",4.21
"10/07","M",28,7,5,2,"A",5.66
"10/07","M",36,8,20.4,4,"A",5
"10/07","M",21,1,1.2,2,"A",3.75
"10/07","M",31,2,18.3,2,"A",6.63
"10/07","M",54,8,17.2,4,"A",2.08
"10/07","F",41,4,18.4,3,"A",4.91
"10/07","M",43,6,15.1,4,"A",2.77
"10/07","F",30,1,19.6,1,"A",3.55
"11/07","F",33,8,10,1,"A",4.24
"11/07","F",55,3,22.5,3,"A",1.43
"11/07","M",50,2,7,4,"A",2.93
"11/07","M",53,7,2.7,4,"A",2.37
"11/07","M",48,2,14.4,4,"A",3.34
"11/07","F",47,1,0.6,3,"A",5.18
"11/07","M",28,0,2,2,"A",5.2
"11/07","F",46,8,8,3,"A",2.26
"11/07","M",54,4,1.7,4,"A",3.3
"11/07","M",29,9,16.9,2,"A",5.38
"11/07","F",33,1,1.8,1,"A",6.19
"11/07","M",48,5,7.8,4,"A",3.98
"11/07","M",21,8,8.6,2,"A",5.39
"11/07","F",31,6,9.3,1,"A",3.61
"11/07","M",34,5,18.9,2,"A",4.62
"11/07","M",24,9,14.5,2,"A",6.78
"11/07","M",40,10,18.3,4,"A",3.75
"11/07","F",54,3,5.7,3,"A",1.96
"11/07","M",55,1,6.9,4,"A",3.41
"11/07","M",25,2,7.6,2,"A",5.75
"11/07","M",38,9,22.1,4,"A",4.4
"11/07","F",32,1,10.8,1,"A",3.82
"11/07","F",43,3,3,3,"A",3.43
"11/07","F",28,2,3.5,1,"A",5.77
"11/07","F",35,1,7.5,1,"A",4.17
"11/07","F",24,2,23.4,1,"A",5.15
"11/07","F",32,7,5.6,1,"A",6.54
"11/07","F",45,6,0.9,3,"A",4.71
"11/07","F",36,1,13.5,3,"A",5.25
"11/07","F",20,2,19.6,1,"A",6.82
"11/07","M",47,1,1,4,"A",2.85
"11/07","F",33,4,0.7,1,"A",4.44
"12/07","F",54,2,21.2,3,"A",2.79
"12/07","M",28,6,2.3,2,"A",5.52
"12/07","M",49,6,21.3,4,"A",2.99
"12/07","F",21,1,21.1,1,"A",5.18
"12/07","M",51,2,20.1,4,"A",2.2
"12/07","M",35,9,13.4,2,"A",5.26
"12/07","F",22,9,11.2,1,"A",4.75
"12/07","M",30,9,18.3,2,"A",5.01
"12/07","M",49,1,21,4,"A",4.38
"12/07","M",28,0,16.8,2,"A",4.12
"12/07","M",40,6,16.5,4,"A",3.54
"12/07","F",49,3,15.3,3,"A",3.78
"12/07","M",21,6,19.9,2,"A",2.46
"12/07","F",44,4,8.8,3,"A",3.82
"12/07","F",44,1,13.7,3,"A",3.63
"12/07","F",35,6,15.1,1,"A",6.95
"12/07","F",34,3,14.8,1,"A",3.82
"12/07","M",39,1,0.9,4,"A",3.01
"12/07","F",52,3,0.4,3,"A",5.2
"12/07","M",27,4,1.6,2,"A",5.29
"12/07","M",26,8,7.1,2,"A",5.37
"12/07","F",34,8,3,1,"A",5.39
"12/07","F",30,9,20.3,1,"A",4.79
"12/07","F",50,8,14,3,"A",2.39
"12/07","M",25,1,13,2,"A",5.51
"12/07","M",36,6,13.5,4,"A",4.63
"12/07","F",34,8,2.7,1,"A",4.78
"12/07","F",39,6,12.1,3,"A",3
"12/07","M",42,5,4.1,4,"A",3.19
"12/07","F",54,3,7.9,3,"A",3.21
"12/07","M",27,0,6.9,2,"A",3.57
"12/07","F",27,3,20.9,1,"A",5.32
"12/07","F",47,2,23.6,3,"A",4.51
"13/07","M",49,9,10.8,4,"A",4.74
"13/07","M",22,7,10.3,2,"A",4.17
"13/07","M",54,5,7.2,4,"A",3.05
"13/07","M",23,6,6.2,2,"A",5.36
"13/07","F",23,2,19,1,"A",5.85
"13/07","M",52,0,0.4,4,"A",3
"13/07","M",37,9,0.8,4,"A",3.46
"13/07","M",24,7,0.7,2,"A",5.05
"13/07","F",31,3,13.6,1,"A",5.7
"13/07","M",42,7,21.3,4,"A",5.12
"13/07","M",30,9,13.3,2,"A",7.07
"13/07","M",31,4,4.7,2,"A",3.7
"13/07","M",23,7,19,2,"A",4.78
"13/07","M",42,2,22.7,4,"A",3.31
"13/07","M",25,6,1.7,2,"A",6.23
"13/07","F",53,10,8.9,3,"A",3.62
"13/07","F",51,4,16.1,3,"A",4.59
"13/07","M",53,5,0.2,4,"A",3.58
"13/07","M",45,8,18,4,"A",4.18
"13/07","M",32,5,23.7,2,"A",6.54
"13/07","F",47,1,6.6,3,"A",3.69
"13/07","F",18,1,3.3,1,"A",5.79
"13/07","M",53,2,23.4,4,"A",2.75
"13/07","F",55,1,7.4,3,"A",2.26
"13/07","F",31,4,13.7,1,"A",3.96
"13/07","M",46,1,12.9,4,"A",1.97
"13/07","F",47,6,23.1,3,"A",3.44
"13/07","M",44,3,10.9,4,"A",3.65
"13/07","M",36,5,9.1,4,"A",6.26
"13/07","F",36,9,1.5,3,"A",6.02
"13/07","F",29,4,16.1,1,"A",4.45
"13/07","F",44,10,1.6,3,"A",5.25
"14/07","F",48,4,4.8,3,"A",2.29
"14/07","M",34,9,22,2,"A",5.1
"14/07","F",37,7,23,3,"A",5.04
"14/07","F",43,9,5.7,3,"A",2.61
"14/07","F",23,3,9.8,1,"A",6.24
"14/07","F",31,4,19.1,1,"A",3.99
"14/07","F",33,0,21.1,1,"A",2.33
"14/07","M",21,1,22.9,2,"A",3.71
"14/07","F",53,5,15.1,3,"A",1.05
"14/07","F",49,4,5.2,3,"A",2.88
"14/07","M",51,8,12.6,4,"A",4.33
"14/07","F",53,0,5.8,3,"A",1.96
"14/07","F",21,8,22.6,1,"A",4.42
"14/07","F",32,4,0.6,1,"A",4.28
"14/07","M",38,4,15.2,4,"A",4.2
"14/07","M",22,10,23.3,2,"A",6.05
"14/07","F",48,5,2.6,3,"A",3.93
"14/07","F",45,6,5.4,3,"A",3.59
"14/07","M",20,9,3.5,2,"A",5.72
"14/07","F",36,9,8.5,3,"A",5.96
"14/07","F",52,3,8,3,"A",4.5
"14/07","M",20,7,2.1,2,"A",4.77
"14/07","M",29,4,23.3,2,"A",5.29
"14/07","F",37,2,18.5,3,"A",4.08
"14/07","M",41,7,0.7,4,"A",5.58
"14/07","F",28,10,22.7,1,"A",6.39
"14/07","F",34,3,11.3,1,"A",5.45
"14/07","M",32,5,14.2,2,"A",4.41
"14/07","F",53,3,23.7,3,"A",3.87
"14/07","F",23,2,8.3,1,"A",5.66
"14/07","M",21,7,15.9,2,"A",4.28
"14/07","F",54,5,1.1,3,"A",1.99
"15/07","F",34,2,21.1,1,"A",5.65
"15/07","M",32,1,22.4,2,"A",3.85
"15/07","F",24,7,22.9,1,"A",6.71
"15/07","M",20,8,18.1,2,"A",6.36
"15/07","M",42,1,19.9,4,"A",2.51
"15/07","F",39,7,11.6,3,"A",3.88
"15/07","F",55,0,17.4,3,"A",1.03
"15/07","M",40,4,21.3,4,"A",4.23
"15/07","M",20,7,1.5,2,"A",2.06
"15/07","M",24,3,21.7,2,"A",6.2
"15/07","M",36,4,0.7,4,"A",4.63
"15/07","F",18,8,7.7,1,"A",6.61
"15/07","M",34,3,3.1,2,"A",4.15
"15/07","F",28,1,2.6,1,"A",6
"15/07","M",53,3,12.3,4,"A",3.01
"15/07","M",44,2,20,4,"A",2.54
"15/07","F",24,8,10.7,1,"A",5.41
"15/07","M",36,7,18.1,4,"A",5.54
"15/07","M",44,1,21.6,4,"A",1.97
"15/07","F",35,3,7.4,1,"A",4.24
"15/07","M",53,8,13.4,4,"A",2.52
"15/07","M",44,8,24,4,"A",2.58
"15/07","M",33,1,4.9,2,"A",6.34
"15/07","F",22,4,0.1,1,"A",5.37
"15/07","M",27,4,7.3,2,"A",5.44
"15/07","M",50,9,11.9,4,"A",3.83
"15/07","M",34,4,0.7,2,"A",2.9
"15/07","M",36,7,20.9,4,"A",4.71
"15/07","M",44,7,22.4,4,"A",5.37
"15/07","M",46,0,22.3,4,"A",4.53
"15/07","M",24,0,1.1,2,"A",4.18
"15/07","F",49,1,20.1,3,"A",4.51
"16/07","M",53,4,20.1,4,"A",4.42
"16/07","M",40,9,13.4,4,"A",5.35
"16/07","F",37,4,21.1,3,"A",5.93
"16/07","M",25,8,18.8,2,"A",6.45
"16/07","F",18,7,21.7,1,"A",6.22
"16/07","M",50,2,17.1,4,"A",1.06
"16/07","F",23,9,13.8,1,"A",6.34
"16/07","M",19,1,11.7,2,"A",5.12
"16/07","M",53,2,4.9,4,"A",1.88
"16/07","F",29,8,4.6,1,"A",5.05
"16/07","M",24,6,20.1,2,"A",4.3
"16/07","M",33,2,21.3,2,"A",5.56
"16/07","F",35,7,13.6,1,"A",4.54
"16/07","M",34,10,8.7,2,"A",3.74
"16/07","F",37,9,5.5,3,"A",4.91
"16/07","M",49,10,9.2,4,"A",2.6
"16/07","M",20,5,13.7,2,"A",4.07
"16/07","M",39,1,14.4,4,"A",2.01
"16/07","M",43,9,19.1,4,"A",3.62
"16/07","F",42,2,12.1,3,"A",3.21
"16/07","M",43,5,13,4,"A",4.93
"16/07","F",35,1,0.6,1,"A",3.51
"16/07","M",54,4,18.7,4,"A",3.98
"16/07","F",33,7,8,1,"A",3.51
"16/07","M",49,7,11.2,4,"A",2.66
"16/07","M",46,1,17.5,4,"A",2.18
"16/07","M",38,6,17.9,4,"A",2.94
"16/07","M",50,0,21.4,4,"A",2.21
"16/07","M",35,6,7.2,2,"A",4.49
"16/07","F",18,10,2.4,1,"A",5.27
"16/07","F",45,8,4.6,3,"A",4.04
"16/07","M",45,8,6.2,4,"A",5.02
"16/07","M",25,4,6.5,2,"A",5.99
"17/07","F",42,8,0.2,3,"A",2.57
"17/07","F",38,4,22,3,"A",4.48
"17/07","M",30,3,20.2,2,"A",3.49
"17/07","F",42,4,9,3,"A",3.71
"17/07","M",49,5,12,4,"A",3.43
"17/07","M",44,9,8,4,"A",3.55
"17/07","M",31,7,18.9,2,"A",4.16
"17/07","M",23,10,18.8,2,"A",5.87
"17/07","M",32,1,6.9,2,"A",4.38
"17/07","F",52,8,9.3,3,"A",1.69
"17/07","M",48,5,14,4,"A",2.54
"17/07","F",46,9,23.9,3,"A",5.35
"17/07","M",53,6,20.1,4,"A",2.53
"17/07","F",55,10,17.4,3,"A",3.88
"17/07","M",40,10,9.8,4,"A",4.45
"17/07","F",19,3,23,1,"A",4.56
"17/07","F",30,7,19.2,1,"A",5.12
"17/07","M",28,1,16.9,2,"A",4.73
"17/07","M",22,9,17.8,2,"A",6.5
"17/07","F",20,1,1,1,"A",4.79
"17/07","M",32,6,1.3,2,"A",3.96
"17/07","F",30,6,21.5,1,"A",3.64
"17/07","F",24,1,14.9,1,"A",2.25
"17/07","M",41,5,17.2,4,"A",4.6
"17/07","F",33,4,0.2,1,"A",4.57
"17/07","M",53,0,3.6,4,"A",3.57
"17/07","F",42,0,9.4,3,"A",2.98
"17/07","M",30,9,17.1,2,"A",5.89
"17/07","F",25,8,7,1,"A",5.92
"17/07","F",22,4,20.1,1,"A",3.99
"17/07","M",55,9,19.4,4,"A",3.22
"17/07","M",32,5,4.4,2,"A",6.3
"18/07","F",39,5,14.8,3,"B",3.74
"18/07","M",45,7,2.4,4,"A",4
"18/07","F",50,2,6.6,3,"A",3.66
"18/07","M",39,1,18.7,4,"A",3.58
"18/07","F",18,9,10.5,1,"A",6.64
"18/07","F",52,2,5.3,3,"A",3.36
"18/07","F",47,6,13.8,3,"A",2.83
"18/07","F",32,8,18.7,1,"A",5.15
"18/07","M",21,3,3.7,2,"A",4.87
"18/07","F",20,10,20.3,1,"A",6.37
"18/07","M",48,9,6,4,"A",2.77
"18/07","M",49,8,19.3,4,"A",3.58
"18/07","M",42,2,2.6,4,"A",3.73
"18/07","M",23,8,13.9,2,"A",5.86
"18/07","F",31,9,1.5,1,"A",5.36
"18/07","M",45,0,2.2,4,"B",2.635
"18/07","F",52,2,7.2,3,"A",1.84
"18/07","F",44,9,15.4,3,"A",3.66
"18/07","F",27,7,11.8,1,"A",3.94
"18/07","M",42,9,13.3,4,"A",6.37
"18/07","F",28,8,1.4,1,"B",5.98
"18/07","M",53,4,8.2,4,"B",2.975
"18/07","M",24,1,16.3,2,"A",4.6
"18/07","M",33,6,10.4,2,"A",4.35
"18/07","F",27,7,6.1,1,"A",5.13
"18/07","M",21,8,3.5,2,"A",5.46
"18/07","F",49,5,14.9,3,"A",2.76
"18/07","F",37,10,13.9,3,"A",4.49
"18/07","F",43,8,13.4,3,"A",3.47
"18/07","F",33,1,0.6,1,"A",3.43
"18/07","F",49,2,8.5,3,"A",3.68
"18/07","M",45,8,9.1,4,"B",3.965
"19/07","F",31,5,0.6,1,"B",6.9
"19/07","F",53,9,16.2,3,"A",3.55
"19/07","M",42,9,1.3,4,"B",5.715
"19/07","F",19,8,1,1,"A",5.27
"19/07","F",40,6,0.1,3,"B",2.52
